Name,Gender,Color1,Race,Color2,Height,Publisher,Color3,Alignment,Weight
Nick Fury,Male,brown,Human,Brown / White,185,Marvel Comics,NA,good,99
Nightcrawler,Male,yellow,NA,Indigo,175,Marvel Comics,NA,good,88
Nightwing,Male,blue,Human,Black,178,DC Comics,NA,good,79
Niki Sanders,Female,blue,NA,Blond,-99,NBC - Heroes,NA,good,-99
Nina Theroux,Female,NA,Alpha,NA,-99,SyFy,NA,good,-99
Nite Owl II,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Northstar,Male,blue,NA,Black,180,Marvel Comics,NA,good,83
Nova,Male,brown,Human,Brown,185,Marvel Comics,NA,good,86
Nova,Female,white,Human / Cosmic,Red,163,Marvel Comics,gold,good,59
Odin,Male,blue,God / Eternal,White,206,Marvel Comics,NA,good,293
Offspring,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Omega Red,Male,red,NA,Blond,211,Marvel Comics,NA,bad,191
Omniscient,Male,brown,NA,Black,180,Team Epic TV,NA,good,65
One Punch Man,Male,NA,Human,No Hair,175,Shueisha,NA,good,69
One-Above-All,NA,NA,Cosmic Entity,NA,-99,Marvel Comics,NA,neutral,-99
Onslaught,Male,red,Mutant,No Hair,305,Marvel Comics,NA,bad,405
Oracle,Female,blue,Human,Red,178,DC Comics,NA,good,59
Osiris,Male,brown,NA,Brown,-99,DC Comics,NA,good,-99
Overtkill,Male,NA,NA,NA,-99,Image Comics,NA,bad,-99
Ozymandias,Male,blue,Human,Blond,-99,DC Comics,NA,bad,-99
Parademon,NA,NA,Parademon,NA,-99,DC Comics,NA,bad,-99
Paul Blart,Male,NA,Human,NA,170,Sony Pictures,NA,good,117
Penance,NA,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Penance I,Female,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Penance II,Male,blue,NA,Blond,183,Marvel Comics,NA,good,89
Penguin,Male,blue,Human,Black,157,DC Comics,NA,bad,79
Peter Petrelli,Male,NA,NA,NA,-99,NBC - Heroes,NA,good,-99
Phantom,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Phantom Girl,Female,blue,NA,Black,168,DC Comics,NA,good,54
Phoenix,Female,green,Mutant,Red,168,Marvel Comics,NA,good,52
Plantman,Male,green,Mutant,Grey,183,Marvel Comics,NA,bad,87
Plastic Lad,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Plastic Man,Male,blue,Human,Black,185,DC Comics,NA,good,80
Plastique,Female,blue,NA,Red,168,DC Comics,NA,bad,55
Poison Ivy,Female,green,Human,Red,168,DC Comics,green,bad,50
Polaris,Female,green,Mutant,Green,170,Marvel Comics,NA,good,52
Power Girl,Female,blue,Kryptonian,blond,180,DC Comics,NA,good,81
Power Man,Male,NA,Mutant,NA,-99,Marvel Comics,NA,good,-99
Predator,Male,NA,Yautja,NA,213,Dark Horse Comics,NA,bad,234
Professor X,Male,blue,Mutant,No Hair,183,Marvel Comics,NA,good,86
Professor Zoom,Male,blue,Human,Strawberry Blond,180,DC Comics,NA,bad,81
Proto-Goblin,Male,green,NA,Blond,-99,Marvel Comics,NA,bad,-99
Psylocke,Female,blue,Mutant,Purple,180,Marvel Comics,NA,good,70
Punisher,Male,blue,Human,Black,183,Marvel Comics,NA,good,90
Purple Man,Male,purple,Human,Purple,180,Marvel Comics,purple,bad,74
Pyro,Male,blue,NA,Blond,178,Marvel Comics,NA,bad,68
Q,Male,NA,God / Eternal,NA,-99,Star Trek,NA,NA,-99
Quantum,Male,NA,NA,NA,-99,HarperCollins,NA,good,-99
Question,Male,blue,Human,Blond,188,DC Comics,NA,good,83
Quicksilver,Male,blue,Mutant,Silver,183,Marvel Comics,NA,good,79
Quill,Male,brown,NA,Brown,163,Marvel Comics,NA,good,56
Ra's Al Ghul,Male,green,Human,Grey,193,DC Comics,NA,bad,97
Rachel Pirzad,Female,NA,Alpha,NA,-99,SyFy,NA,good,-99
Rambo,Male,brown,Human,Black,178,,NA,good,83
Raphael,Male,NA,Mutant,No Hair,-99,IDW Publishing,green,good,-99
Raven,Female,indigo,Human,Black,165,DC Comics,NA,neutral,50
Ray,Male,green,Human,Red,178,DC Comics,NA,good,70
Razor-Fist II,Male,blue,NA,No Hair,191,Marvel Comics,NA,bad,117
Red Arrow,Male,green,Human,Red,180,DC Comics,NA,good,83
Red Hood,Male,blue,Human,Black,183,DC Comics,NA,neutral,81
Red Hulk,Male,yellow,Human / Radiation,Black,213,Marvel Comics,red,neutral,630
Red Mist,Male,NA,NA,NA,-99,Icon Comics,NA,bad,-99
Red Robin,Male,blue,Human,Black,165,DC Comics,NA,good,56
Red Skull,Male,blue,NA,No Hair,188,Marvel Comics,NA,bad,108
Red Tornado,Male,green,Android,No Hair,185,DC Comics,NA,good,146
Redeemer II,Male,NA,NA,NA,-99,Image Comics,NA,bad,-99
Redeemer III,Male,NA,NA,NA,-99,Image Comics,NA,bad,-99
Renata Soliz,Female,NA,NA,NA,-99,HarperCollins,NA,good,-99
Rey,Female,hazel,Human,Brown,297,George Lucas,NA,good,-99
Rhino,Male,brown,Human / Radiation,Brown,196,Marvel Comics,NA,bad,320
Rick Flag,Male,blue,NA,Brown,185,DC Comics,NA,bad,85
Riddler,Male,NA,NA,NA,-99,DC Comics,NA,bad,-99
Rip Hunter,Male,blue,Human,Blond,-99,DC Comics,NA,good,-99
Ripcord,Female,green,NA,Black,180,Marvel Comics,NA,good,72
Robin,Male,blue,Human,Black,178,DC Comics,NA,good,79
Robin II,Male,blue,Human,Red,183,DC Comics,NA,good,101
Robin III,Male,blue,Human,Black,165,DC Comics,NA,good,56
Robin V,Male,blue,Human,Black,137,DC Comics,NA,good,38
Robin VI,Female,green,Human,Red,-99,DC Comics,NA,neutral,-99
Rocket Raccoon,Male,brown,Animal,Brown,122,Marvel Comics,NA,good,25
Rogue,Female,green,NA,Brown / White,173,Marvel Comics,NA,good,54
Ronin,Male,blue,Human,Blond,191,Marvel Comics,NA,good,104
Rorschach,Male,blue,Human,Red,168,DC Comics,NA,good,63
Sabretooth,Male,amber,Mutant,Blond,198,Marvel Comics,NA,bad,171
Sage,Female,blue,NA,Black,170,Marvel Comics,NA,good,61
Sandman,Male,brown,Human,Brown,185,Marvel Comics,NA,neutral,203
Sasquatch,Male,red,NA,Orange,305,Marvel Comics,NA,good,900
Sauron,Male,NA,Maiar,NA,279,J. R. R. Tolkien,NA,bad,-99
Savage Dragon,Male,NA,NA,NA,-99,Image Comics,NA,good,-99
Scarecrow,Male,blue,Human,Brown,183,DC Comics,NA,bad,63
Scarlet Spider,Male,blue,Human,Blond,178,Marvel Comics,NA,good,74
Scarlet Spider II,Male,brown,Clone,Brown,193,Marvel Comics,NA,good,113
Scarlet Witch,Female,blue,Mutant,Brown,170,Marvel Comics,NA,bad,59
Scorpia,Female,green,NA,Red,-99,Marvel Comics,NA,bad,-99
Scorpion,Male,brown,Human,Brown,211,Marvel Comics,NA,bad,310
Sebastian Shaw,Male,NA,Mutant,NA,-99,Marvel Comics,NA,bad,-99
Sentry,Male,blue,Mutant,Blond,188,Marvel Comics,NA,neutral,87
Shadow King,NA,red,NA,NA,185,Marvel Comics,NA,good,149
Shadow Lass,Female,black,Talokite,Black,173,DC Comics,blue,good,54
Shadowcat,Female,hazel,Mutant,Brown,168,Marvel Comics,NA,good,50
Shang-Chi,Male,brown,Human,Black,178,Marvel Comics,NA,good,79
Shatterstar,Male,brown,NA,Red,191,Marvel Comics,NA,good,88
She-Hulk,Female,green,Human,Green,201,Marvel Comics,NA,good,315
She-Thing,Female,blue,Human / Radiation,No Hair,183,Marvel Comics,NA,good,153
Shocker,Male,brown,Human,Brown,175,Marvel Comics,NA,bad,79
Shriek,Female,yellow / blue,NA,Black,173,Marvel Comics,NA,good,52
Shrinking Violet,Female,NA,NA,NA,-99,DC Comics,NA,good,-99
Sif,Female,blue,Asgardian,Black,188,Marvel Comics,NA,good,191
Silk,Female,brown,Human,Black,-99,Marvel Comics,NA,good,-99
Silk Spectre,Female,NA,NA,NA,-99,DC Comics,NA,good,-99
Silk Spectre II,Female,NA,NA,NA,-99,DC Comics,NA,good,-99
Silver Surfer,Male,white,Alien,No Hair,193,Marvel Comics,silver,good,101
Silverclaw,Female,brown,NA,Black,157,Marvel Comics,NA,good,50
Simon Baz,Male,bown,Human,Black,-99,DC Comics,NA,good,-99
Sinestro,Male,black,Korugaran,Black,201,DC Comics,red,neutral,92
Siren,Female,blue,Atlantean,Purple,175,DC Comics,NA,bad,72
Siren II,Female,black,NA,NA,-99,DC Comics,NA,bad,-99
Siryn,Female,blue,NA,Strawberry Blond,168,Marvel Comics,NA,bad,52
Skaar,Male,green,NA,Black,198,Marvel Comics,NA,good,180
Snake-Eyes,Male,NA,Animal,NA,-99,Marvel Comics,NA,bad,-99
Snowbird,Female,white,NA,Blond,178,Marvel Comics,NA,good,49
Sobek,Male,white,NA,No Hair,-99,DC Comics,NA,good,-99
Solomon Grundy,Male,black,Zombie,White,279,DC Comics,NA,bad,437
Songbird,Female,green,NA,Red / White,165,Marvel Comics,NA,good,65
Space Ghost,Male,NA,Human,NA,188,DC Comics,NA,good,113
Spawn,Male,brown,Demon,Black,211,Image Comics,NA,good,405
Spectre,Male,white,God / Eternal,No Hair,-99,DC Comics,white,good,-99
Speedball,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Speedy,Male,NA,Human,NA,-99,DC Comics,NA,good,-99
Speedy,Female,green,Human,Brown,-99,DC Comics,NA,good,-99
Spider-Carnage,Male,NA,Symbiote,NA,-99,Marvel Comics,NA,bad,-99
Spider-Girl,Female,blue,Human,Brown,170,Marvel Comics,NA,good,54
Spider-Gwen,Female,blue,Human,Blond,165,Marvel Comics,NA,good,56
Spider-Man,Male,hazel,Human,Brown,178,Marvel Comics,NA,good,74
Spider-Man,NA,red,Human,Brown,178,Marvel Comics,NA,good,77
Spider-Man,Male,brown,Human,Black,157,Marvel Comics,NA,good,56
Spider-Woman,Female,green,Human,Black,178,Marvel Comics,NA,good,59
Spider-Woman II,Female,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Spider-Woman III,Female,brown,NA,Brown,173,Marvel Comics,NA,good,55
Spider-Woman IV,Female,red,NA,White,178,Marvel Comics,NA,bad,58
Spock,Male,brown,Human-Vulcan,Black,185,Star Trek,NA,good,81
Spyke,Male,brown,Mutant,Blond,183,Marvel Comics,NA,good,83
Stacy X,Female,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Star-Lord,Male,blue,Human-Spartoi,Blond,188,Marvel Comics,NA,good,79
Stardust,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Starfire,Female,green,Tamaranean,Auburn,193,DC Comics,orange,good,71
Stargirl,Female,blue,Human,Blond,165,DC Comics,NA,good,62
Static,Male,brown,Mutant,Black,170,DC Comics,NA,good,63
Steel,Male,brown,NA,No Hair,201,DC Comics,NA,good,131
Stephanie Powell,Female,NA,NA,Blond,-99,ABC Studios,NA,good,-99
Steppenwolf,Male,red,New God,Black,183,DC Comics,white,bad,91
Storm,Female,blue,Mutant,White,180,Marvel Comics,NA,good,57
Stormtrooper,Male,NA,Human,NA,183,George Lucas,NA,bad,-99
Sunspot,Male,brown,Mutant,black,173,Marvel Comics,NA,good,77
Superboy,Male,blue,NA,Black,170,DC Comics,NA,good,68
Superboy-Prime,Male,blue,Kryptonian,Black / Blue,180,DC Comics,NA,bad,77
Supergirl,Female,blue,Kryptonian,Blond,165,DC Comics,NA,good,54
Superman,Male,blue,Kryptonian,Black,191,DC Comics,NA,good,101
Swamp Thing,Male,red,God / Eternal,No Hair,-99,DC Comics,green,bad,-99
Swarm,Male,yellow,Mutant,No Hair,196,Marvel Comics,yellow,bad,47
Sylar,Male,NA,NA,NA,-99,NBC - Heroes,NA,bad,-99
Synch,Male,brown,NA,Black,180,Marvel Comics,NA,good,74
T-1000,Male,NA,Android,NA,183,Dark Horse Comics,silver,bad,146
T-800,Male,red,Cyborg,NA,-99,Dark Horse Comics,NA,bad,176
T-850,Male,red,Cyborg,NA,-99,Dark Horse Comics,NA,bad,198
T-X,Female,NA,Cyborg,NA,-99,Dark Horse Comics,silver,bad,149
Taskmaster,Male,brown,Human,Brown,188,Marvel Comics,NA,bad,99
Tempest,Female,brown,NA,Black,163,Marvel Comics,NA,good,54
Thanos,Male,red,Eternal,No Hair,201,Marvel Comics,purple,bad,443
The Cape,Male,NA,NA,NA,-99,,NA,good,-99
The Comedian,Male,brown,Human,Black,188,DC Comics,NA,neutral,101
Thing,Male,blue,Human / Radiation,No Hair,183,Marvel Comics,NA,good,225
Thor,Male,blue,Asgardian,Blond,198,Marvel Comics,NA,good,288
Thor Girl,Female,blue,Asgardian,Blond,175,Marvel Comics,NA,good,143
Thunderbird,Male,brown,NA,Black,185,Marvel Comics,NA,good,101
Thunderbird II,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Thunderbird III,Male,brown,NA,Black,175,Marvel Comics,NA,good,74
Thunderstrike,Male,blue,NA,Blond,198,Marvel Comics,NA,good,288
Thundra,Female,green,NA,Red,218,Marvel Comics,NA,good,158
Tiger Shark,Male,grey,Human,No Hair,185,Marvel Comics,grey,bad,203
Tigra,Female,green,NA,Auburn,178,Marvel Comics,NA,good,81
Tinkerer,Male,brown,NA,White,163,Marvel Comics,NA,bad,54
Titan,Male,NA,NA,NA,-99,HarperCollins,NA,good,-99
Toad,Male,black,Mutant,Brown,175,Marvel Comics,green,neutral,76
Toxin,Male,blue,Symbiote,Brown,188,Marvel Comics,NA,good,97
Toxin,Male,black,Symbiote,Blond,191,Marvel Comics,NA,good,117
Tracy Strauss,Female,NA,NA,NA,-99,NBC - Heroes,NA,good,-99
Trickster,Male,blue,Human,Blond,183,DC Comics,NA,NA,81
Trigon,Male,yellow,God / Eternal,Black,-99,DC Comics,red,bad,-99
Triplicate Girl,Female,purple,NA,Brown,168,DC Comics,NA,good,59
Triton,Male,green,Inhuman,No Hair,188,Marvel Comics,green,good,86
Two-Face,Male,NA,NA,NA,183,DC Comics,NA,bad,82
Ultragirl,Female,blue,NA,Blond,168,Marvel Comics,NA,good,105
Ultron,Male,red,Android,NA,206,Marvel Comics,silver,bad,331
Utgard-Loki,Male,blue,Frost Giant,White,15.2,Marvel Comics,NA,bad,58
Vagabond,Female,blue,NA,Strawberry Blond,168,Marvel Comics,NA,good,54
Valerie Hart,Female,hazel,NA,Black,175,Team Epic TV,NA,good,56
Valkyrie,Female,blue,NA,Blond,191,Marvel Comics,NA,good,214
Vanisher,Male,green,NA,No Hair,165,Marvel Comics,NA,bad,79
Vegeta,Male,NA,Saiyan,Black,168,Shueisha,NA,bad,73
Venom,Male,blue,Symbiote,Strawberry Blond,191,Marvel Comics,NA,bad,117
Venom II,Male,brown,NA,Black,175,Marvel Comics,NA,bad,50
Venom III,Male,brown,Symbiote,Brown,229,Marvel Comics,NA,bad,334
Venompool,Male,NA,Symbiote,NA,226,Marvel Comics,NA,NA,-99
Vertigo II,Female,blue,NA,Silver,168,Marvel Comics,NA,good,52
Vibe,Male,brown,Human,Black,178,DC Comics,NA,good,71
Vindicator,Female,green,Human,Red,165,Marvel Comics,NA,good,54
Vindicator,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Violator,Male,NA,NA,NA,-99,Image Comics,NA,bad,-99
Violet Parr,Female,violet,Human,Black,137,Dark Horse Comics,NA,good,41
Vision,Male,gold,Android,No Hair,191,Marvel Comics,red,good,135
Vision II,NA,red,NA,No Hair,191,Marvel Comics,NA,good,135
Vixen,Female,amber,Human,Black,175,DC Comics,NA,good,63
Vulcan,Male,black,NA,Black,-99,Marvel Comics,NA,good,-99
Vulture,Male,brown,Human,No Hair,180,Marvel Comics,NA,bad,79
Walrus,Male,blue,Human,Black,183,Marvel Comics,NA,bad,162
War Machine,Male,brown,Human,Brown,185,Marvel Comics,NA,good,95
Warbird,Female,blue,NA,Blond,180,Marvel Comics,NA,good,54
Warlock,Male,red,NA,Blond,188,Marvel Comics,NA,good,108
Warp,Male,brown,NA,Black,173,DC Comics,NA,bad,67
Warpath,Male,brown,Mutant,Black,218,Marvel Comics,NA,good,158
Wasp,Female,blue,Human,Auburn,163,Marvel Comics,NA,good,50
Watcher,Male,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Weapon XI,Male,NA,NA,NA,-99,Marvel Comics,NA,bad,-99
White Canary,Female,brown,Human,Black,-99,DC Comics,NA,bad,-99
White Queen,Female,blue,NA,Blond,178,Marvel Comics,NA,good,65
Wildfire,Male,NA,NA,NA,-99,DC Comics,NA,good,-99
Winter Soldier,Male,brown,Human,Brown,175,Marvel Comics,NA,good,117
Wiz Kid,NA,brown,NA,Black,140,Marvel Comics,NA,good,39
Wolfsbane,Female,green,NA,Auburn,366,Marvel Comics,NA,good,473
Wolverine,Male,blue,Mutant,Black,160,Marvel Comics,NA,good,135
Wonder Girl,Female,blue,Demi-God,Blond,165,DC Comics,NA,good,51
Wonder Man,Male,red,NA,Black,188,Marvel Comics,NA,good,171
Wonder Woman,Female,blue,Amazon,Black,183,DC Comics,NA,good,74
Wondra,Female,NA,NA,NA,-99,Marvel Comics,NA,good,-99
Wyatt Wingfoot,Male,brown,NA,Black,196,Marvel Comics,NA,good,117
X-23,Female,green,Mutant / Clone,Black,155,Marvel Comics,NA,good,50
X-Man,Male,blue,NA,Brown,175,Marvel Comics,NA,good,61
Yellow Claw,Male,blue,NA,No Hair,188,Marvel Comics,NA,bad,95
Yellowjacket,Male,blue,Human,Blond,183,Marvel Comics,NA,good,83
Yellowjacket II,Female,blue,Human,Strawberry Blond,165,Marvel Comics,NA,good,52
Ymir,Male,white,Frost Giant,No Hair,304.8,Marvel Comics,white,good,-99
Yoda,Male,brown,Yoda's species,White,66,George Lucas,green,good,17
Zatanna,Female,blue,Human,Black,170,DC Comics,NA,good,57
Zoom,Male,red,NA,Brown,185,DC Comics,NA,bad,81